"Longitude"	"Latitude"	"Temperature"	"Pressure"	"Station"	"Salinity"	"Cruise"
200.3	6.1	870	100	1	35	"fake"
201.4	6.2	793	100	2	35	"fake"
202.4	6.1	755	100	3	35	"fake"
203.6	6.2	690	100	4	35	"fake"
205.7	6.2	800	100	5	35	"fake"
201.6	5.2	800	100	6	35	"fake"
202.9	5.1	730	100	7	35	"fake"
203.4	5.3	728	100	8	35	"fake"
203.4	5.7	710	100	9	35	"fake"
204.8	5.6	780	100	10	35	"fake"
205.3	5	804	100	11	35	"fake"
206.2	5.2	855	100	12	35	"fake"
200.2	4.3	830	100	13	35	"fake"
200.9	4.2	813	100	14	35	"fake"
202.3	4.8	762	100	15	35	"fake"
202.5	4.5	765	100	16	35	"fake"
203	4.5	740	100	17	35	"fake"
203.5	4.5	765	100	18	35	"fake"
204.1	4.6	760	100	19	35	"fake"
204.9	4.2	790	100	20	35	"fake"
206.3	4.3	820	100	21	35	"fake"
200.9	3.2	855	100	22	35	"fake"
201.7	3.8	812	100	23	35	"fake"
202.4	3.8	773	100	24	35	"fake"
203.7	3.5	812	100	25	35	"fake"
204.5	3.2	827	100	26	35	"fake"
205.2	3.2	805	100	27	35	"fake"
206.3	3.4	840	100	28	35	"fake"
200.3	2.4	890	100	29	35	"fake"
202	2.7	820	100	30	35	"fake"
203.8	2.3	873	100	31	35	"fake"
206.3	2.2	875	100	32	35	"fake"
200.6	1.7	873	100	33	35	"fake"
201.5	1.8	865	100	34	35	"fake"
202.1	1.8	841	100	35	35	"fake"
202.1	1.1	862	100	36	35	"fake"
203.1	1.1	908	100	37	35	"fake"
204.5	1.8	855	100	38	35	"fake"
205.5	1.7	850	100	39	35	"fake"
205.7	1	882	100	40	35	"fake"
206.2	1	910	100	41	35	"fake"
200.4	0.5	940	100	42	35	"fake"
201.4	0.6	915	100	43	35	"fake"
201.4	0.1	890	100	44	35	"fake"
202.1	0.7	880	100	45	35	"fake"
202.3	0.3	870	100	46	35	"fake"
203.1	0	880	100	47	35	"fake"
204.1	0.8	960	100	48	35	"fake"
205.4	0.4	890	100	49	35	"fake"
206	0.1	860	100	50	35	"fake"
205.7	3	830	100	51	35	"fake"
203.6	6	705	100	52	35	"fake"
